Features,importance
Flow IAT Mean,0.47324381493603085
Subflow Bwd Bytes,0.09247548764855225
Total Length of Bwd Packets,0.07045634755924664
min_seg_size_forward,0.0646643562532694
Avg Bwd Segment Size,0.04066516841462567
SYN Flag Count,0.03311460026238083
Bwd Packet Length Mean,0.031218947164018483
Fwd PSH Flags,0.02672347046591119
Fwd Header Length,0.023779437997722027
Subflow Fwd Packets,0.02237376904366426
Total Fwd Packets,0.022129778961607175
Bwd IAT Total,0.01624327846871027
Init_Win_bytes_forward,0.015458259509218817
Bwd Packets/s,0.014992569492976235
Bwd IAT Min,0.012824849338699052
Init_Win_bytes_backward,0.0056175034734383565
Bwd IAT Max,0.0051313474893829635
Down/Up Ratio,0.0033284733683022726
Bwd IAT Mean,0.0031274535413055174
Fwd IAT Max,0.0017681363976964327
Fwd IAT Std,0.001252339921229514
Bwd Header Length,0.0012117884478341889
Flow Bytes/s,0.001164270339983551
Packet Length Std,0.0009914330735455309
Fwd Packet Length Std,0.0009848928421718937
Fwd IAT Min,0.0009787010465791854
Fwd IAT Total,0.0007935973699062788
Fwd IAT Mean,0.0007826311508862127
Average Packet Size,0.0007779500968634208
Packet Length Mean,0.0007450660622567271
Fwd Packet Length Max,0.000742050631170698
Packet Length Variance,0.0007367205692864706
Max Packet Length,0.0007344569737143566
Active Min,0.0006621272977388353
Bwd Packet Length Max,0.0005939362901206822
Flow IAT Std,0.0005806770593367964
Flow Duration,0.0005791136221590515
Bwd Packet Length Std,0.0005716883448907879
Fwd Packets/s,0.0005354783890882412
Flow IAT Max,0.0005237976211563612
Flow IAT Min,0.0004946115398432167
Total Backward Packets,0.00042301398626759924
Subflow Bwd Packets,0.000402232394888865
Fwd Packet Length Mean,0.0003996667951153575
Subflow Fwd Bytes,0.0003235261075344813
Total Length of Fwd Packets,0.00031975257148640656
Avg Fwd Segment Size,0.00031186992235395357
Bwd IAT Std,0.0002933006307016858
URG Flag Count,0.00025834181271805836
Flow Packets/s,0.0002456653682667989
act_data_pkt_fwd,0.0002399327812303369
Idle Min,0.00020016527773042842
Idle Max,0.00018859757233628886
Active Mean,0.00015386257343060245
PSH Flag Count,0.00011193984819314993
Idle Mean,8.416012296169942e-05
Bwd Packet Length Min,5.6811329734249855e-05
Min Packet Length,5.325905333014886e-05
Fwd Packet Length Min,5.0121334520865635e-05
Active Max,4.9078277158851533e-05
ACK Flag Count,4.383502592313781e-05
Idle Std,1.1281012820246381e-05
Active Std,3.4190548073090036e-06
FIN Flag Count,1.7886699687928563e-06
Bwd Avg Packets/Bulk,0.0
Bwd URG Flags,0.0
Fwd URG Flags,0.0
Bwd PSH Flags,0.0
RST Flag Count,0.0
Bwd Avg Bulk Rate,0.0
CWE Flag Count,0.0
ECE Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
