Features,importance
Flow IAT Max,0.4594243851009138
min_seg_size_forward,0.2217323950988853
Bwd Packet Length Std,0.06630603096365517
Flow IAT Min,0.04733225473920323
Init_Win_bytes_backward,0.03728797670720858
Bwd Header Length,0.034405243691315465
Total Backward Packets,0.03288674541021706
Subflow Bwd Packets,0.031162265796655375
Init_Win_bytes_forward,0.027535834495268648
Bwd IAT Mean,0.008311290039982225
Flow IAT Mean,0.005452579275130432
URG Flag Count,0.004848160853242934
Fwd IAT Min,0.0019120853587782833
Avg Bwd Segment Size,0.0013295356332079615
Fwd Packets/s,0.0012292066082382985
Bwd Packet Length Mean,0.0011737217027897415
Flow Duration,0.001164919794218948
Fwd Packet Length Max,0.0011421464225540036
act_data_pkt_fwd,0.0010533513776964265
Flow IAT Std,0.0009875331773876864
Bwd IAT Total,0.0007189425907858622
Flow Packets/s,0.000688113043255165
Subflow Fwd Bytes,0.000687708451991648
Total Length of Fwd Packets,0.0006751205146107701
Packet Length Mean,0.0006660281790533024
Fwd IAT Total,0.0006489081072465964
Average Packet Size,0.0006266786486004387
Max Packet Length,0.0005660440726364421
SYN Flag Count,0.0005587423062829235
Fwd IAT Max,0.0005533488369576308
Bwd IAT Std,0.0005398702196804432
Fwd Packet Length Min,0.0005126470743511432
Fwd IAT Mean,0.0005076913481109636
Fwd PSH Flags,0.000490990875180223
Fwd Header Length,0.00047005424449192293
Avg Fwd Segment Size,0.00043027372139068846
Bwd IAT Min,0.00039093612951165367
Fwd Packet Length Mean,0.000386092079599897
Min Packet Length,0.00036417008825350333
Bwd IAT Max,0.00036046257799096534
Flow Bytes/s,0.0002848986520250433
Idle Std,0.0002555540629911924
Fwd IAT Std,0.0002552433505651949
Subflow Bwd Bytes,0.00025398486937710764
Total Length of Bwd Packets,0.00023795423779041617
Packet Length Std,0.00017288271920352601
Bwd Packet Length Max,0.00015060229643817515
Idle Min,0.00012568762916216164
Active Mean,0.00010711817168169569
Active Max,8.947925117154224e-05
Packet Length Variance,8.922837259038345e-05
Idle Max,7.796502248694525e-05
Bwd Packets/s,6.425942269865838e-05
Bwd Packet Length Min,6.005910824428611e-05
Active Std,5.68812897256344e-05
Active Min,5.4888654993678165e-05
Fwd Packet Length Std,5.029380817490483e-05
Total Fwd Packets,3.406802697626628e-05
Subflow Fwd Packets,2.6120481970044103e-05
Down/Up Ratio,1.6477467098363845e-05
Idle Mean,1.3939892564187308e-05
ACK Flag Count,1.927855538917749e-06
FIN Flag Count,0.0
Bwd PSH Flags,0.0
CWE Flag Count,0.0
PSH Flag Count,0.0
RST Flag Count,0.0
ECE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd Avg Bulk Rate,0.0
