Features,importance
Bwd Packet Length Std,0.5136327508018862
Average Packet Size,0.14668084984658136
Bwd Packets/s,0.10378380394674543
Init_Win_bytes_forward,0.0803135633378649
Fwd Packet Length Std,0.07799455755397361
FIN Flag Count,0.024165011579656507
Fwd IAT Mean,0.020980881420726995
Fwd Header Length,0.013656418291921069
Init_Win_bytes_backward,0.005135980236803934
Fwd IAT Min,0.0020264347709305526
Flow Duration,0.0018952660938781026
Flow IAT Min,0.0017958786539462774
Fwd Packets/s,0.0010160138336058435
Fwd Packet Length Max,0.0009338769902364654
URG Flag Count,0.0008077830094481967
Packet Length Mean,0.0006514905343292815
Bwd Header Length,0.0005346048311852564
ACK Flag Count,0.00043861209500270347
Idle Min,0.000397864833820873
Idle Max,0.0003809253146783492
Idle Mean,0.00037122953331288874
Subflow Bwd Packets,0.00033681981942277467
Total Backward Packets,0.000327388677237782
Fwd IAT Total,0.00019678262392860236
Subflow Bwd Bytes,0.0001923801487099339
Total Length of Bwd Packets,0.00016739234951851714
Flow IAT Max,0.0001465680693227046
Bwd IAT Min,0.00013181812987355182
Fwd IAT Max,0.00011891676794617953
Fwd IAT Std,0.00011003920881070283
Flow Packets/s,8.314310387607225e-05
Flow IAT Mean,7.953893386809692e-05
Flow IAT Std,6.471259042972799e-05
PSH Flag Count,5.870934784021779e-05
Bwd IAT Mean,5.5498113773162064e-05
Bwd IAT Max,4.470824711903283e-05
Bwd IAT Total,4.00327744797796e-05
Flow Bytes/s,2.7897181490702062e-05
Avg Bwd Segment Size,2.4666473643788067e-05
Bwd Packet Length Mean,2.3481830976042003e-05
act_data_pkt_fwd,2.054794345646948e-05
Packet Length Std,1.9775320401059826e-05
Max Packet Length,1.9213914731933232e-05
Packet Length Variance,1.9034204721908765e-05
Bwd Packet Length Max,1.5589436660231756e-05
Total Fwd Packets,9.767372675279781e-06
Bwd Packet Length Min,8.944128819442468e-06
Subflow Fwd Packets,8.492728798034813e-06
Down/Up Ratio,8.434422775355756e-06
Subflow Fwd Bytes,8.368556294684866e-06
Avg Fwd Segment Size,8.247700422195176e-06
Total Length of Fwd Packets,7.3875413565551484e-06
Fwd Packet Length Mean,5.83301449703874e-06
min_seg_size_forward,4.125425507227523e-06
Active Min,3.1142774352337514e-06
Active Mean,2.8549659922043442e-06
Bwd IAT Std,2.4764089592879333e-06
Active Max,2.0069408741078612e-06
Min Packet Length,8.811968187844232e-07
Active Std,2.0761656580195699e-07
Idle Std,1.9454585238383358e-07
Fwd Packet Length Min,1.6260995243233973e-07
ECE Flag Count,2.3912260888130694e-08
RST Flag Count,2.3911369308290148e-08
Fwd PSH Flags,0.0
Bwd PSH Flags,0.0
SYN Flag Count,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bytes/Bulk,0.0
CWE Flag Count,0.0
Bwd Avg Bulk Rate,0.0
