Features,importance
Avg Bwd Segment Size,0.068
Average Packet Size,0.064
Total Backward Packets,0.056
act_data_pkt_fwd,0.056
Subflow Bwd Packets,0.056
Packet Length Mean,0.052
Subflow Bwd Bytes,0.052
Bwd Packet Length Max,0.052
Bwd Packet Length Mean,0.048
Flow IAT Min,0.048
Max Packet Length,0.044
Subflow Fwd Bytes,0.044
Total Length of Bwd Packets,0.044
Subflow Fwd Packets,0.04
Packet Length Variance,0.04
Packet Length Std,0.04
Fwd Header Length,0.04
Total Length of Fwd Packets,0.036
Bwd Packet Length Std,0.032
Total Fwd Packets,0.032
Bwd Header Length,0.032
Fwd Packet Length Max,0.016
Bwd IAT Total,0.004
Flow Duration,0.004
Fwd IAT Min,0.0
Bwd IAT Mean,0.0
Avg Fwd Segment Size,0.0
Flow Packets/s,0.0
Fwd Avg Bytes/Bulk,0.0
Fwd Avg Packets/Bulk,0.0
Fwd Avg Bulk Rate,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Flow Bytes/s,0.0
Bwd Packet Length Min,0.0
Fwd Packet Length Std,0.0
Fwd Packet Length Mean,0.0
Init_Win_bytes_forward,0.0
Init_Win_bytes_backward,0.0
Fwd Packet Length Min,0.0
min_seg_size_forward,0.0
Active Mean,0.0
Active Std,0.0
Active Max,0.0
Active Min,0.0
Idle Mean,0.0
Idle Std,0.0
Idle Max,0.0
Flow IAT Mean,0.0
Down/Up Ratio,0.0
ECE Flag Count,0.0
Bwd Packets/s,0.0
Bwd IAT Std,0.0
Bwd IAT Max,0.0
Bwd IAT Min,0.0
Fwd PSH Flags,0.0
Bwd PSH Flags,0.0
Fwd URG Flags,0.0
Bwd URG Flags,0.0
Fwd IAT Max,0.0
Fwd IAT Std,0.0
Fwd Packets/s,0.0
Min Packet Length,0.0
CWE Flag Count,0.0
Fwd IAT Mean,0.0
Fwd IAT Total,0.0
Flow IAT Max,0.0
Flow IAT Std,0.0
FIN Flag Count,0.0
SYN Flag Count,0.0
RST Flag Count,0.0
PSH Flag Count,0.0
ACK Flag Count,0.0
URG Flag Count,0.0
Idle Min,0.0
