Features,importance
Bwd Packet Length Mean,0.3503120483735957
Avg Bwd Segment Size,0.33186577215969787
Init_Win_bytes_forward,0.14738474971686044
Init_Win_bytes_backward,0.03823549272766994
Bwd IAT Min,0.019646390950395602
Flow IAT Min,0.01914500113224901
Fwd Header Length,0.012509051039631168
Fwd IAT Max,0.012388248119851043
Flow IAT Max,0.011257874748504903
Flow Duration,0.010368018262871323
Flow IAT Mean,0.008246345383389872
Flow IAT Std,0.003859012715381073
Fwd Packets/s,0.0037318296710946892
Bwd IAT Mean,0.003670360175351945
Bwd IAT Max,0.0035334317749397813
Average Packet Size,0.002739986210658762
Bwd Packets/s,0.0025851628430226736
Flow Bytes/s,0.0021121702443207655
min_seg_size_forward,0.0014910918267754688
Avg Fwd Segment Size,0.001092852002240975
Bwd Packet Length Max,0.000987356343808181
Fwd PSH Flags,0.0009687723918253817
SYN Flag Count,0.0009632537260685378
Flow Packets/s,0.000947986065296876
Bwd IAT Std,0.000864092055585282
Fwd IAT Total,0.0007324406407481959
Fwd IAT Mean,0.0007134877129080748
Bwd IAT Total,0.0006825949143533666
Fwd Packet Length Mean,0.0006793423968444321
Down/Up Ratio,0.0005499140634915229
URG Flag Count,0.0005255864670133373
Total Length of Bwd Packets,0.00046985953640247744
Packet Length Mean,0.0004462319673044297
Bwd Header Length,0.0004187638174773404
Total Backward Packets,0.0003766573462046861
Subflow Bwd Packets,0.0003749595149272224
Bwd Packet Length Std,0.0003261143301572211
Packet Length Variance,0.0003131402306634792
Fwd IAT Min,0.0003104993512820776
Subflow Fwd Bytes,0.00030739360351870326
Packet Length Std,0.00025919463221879286
Subflow Bwd Bytes,0.00022878859360378644
Fwd IAT Std,0.00021075522839733674
Total Length of Fwd Packets,0.0002017661171775983
act_data_pkt_fwd,0.00020031043110481557
Fwd Packet Length Std,0.00012779619577002834
Total Fwd Packets,0.00012078470768569169
Subflow Fwd Packets,8.971932818399175e-05
Fwd Packet Length Min,8.333454478106147e-05
Max Packet Length,6.917060076100844e-05
Fwd Packet Length Max,5.957194813636694e-05
RST Flag Count,4.2295619395436885e-05
ECE Flag Count,2.8111116570564242e-05
Active Std,2.4715587326981567e-05
Idle Min,1.8350195110717312e-05
Bwd Packet Length Min,1.7517774009846815e-05
ACK Flag Count,1.645880356390833e-05
Idle Mean,1.5114442305246106e-05
PSH Flag Count,1.1511355509421522e-05
Idle Max,1.1313158461447927e-05
Active Mean,9.154751693986877e-06
Active Min,9.13574148138124e-06
Idle Std,7.66790024174791e-06
Active Max,4.124672124838317e-06
Fwd Avg Packets/Bulk,0.0
Bwd PSH Flags,0.0
Fwd Avg Bulk Rate,0.0
Fwd URG Flags,0.0
CWE Flag Count,0.0
Min Packet Length,0.0
FIN Flag Count,0.0
Fwd Avg Bytes/Bulk,0.0
Bwd Avg Bulk Rate,0.0
Bwd Avg Packets/Bulk,0.0
Bwd Avg Bytes/Bulk,0.0
Bwd URG Flags,0.0
